ticker,source,generated_at
NVDA,manual,2025-08-09 08:57:52
AAPL,manual,2025-08-09 08:57:52
TSLA,manual,2025-08-09 08:57:52
AMD,manual,2025-08-09 08:57:52
GOOGL,manual,2025-08-09 08:57:52
MSFT,manual,2025-08-09 08:57:52
AMZN,manual,2025-08-09 08:57:52
NFLX,manual,2025-08-09 08:57:52
