ticker,source,generated_at
NVDA,manual,2025-08-20 16:43:07
AAPL,manual,2025-08-20 16:43:07
TSLA,manual,2025-08-20 16:43:07
AMD,manual,2025-08-20 16:43:07
GOOGL,manual,2025-08-20 16:43:07
MSFT,manual,2025-08-20 16:43:07
AMZN,manual,2025-08-20 16:43:07
NFLX,manual,2025-08-20 16:43:07
